,silhouette_score
100978,-0.7489705784100005
100986,-0.5563741525489224
101023,-0.4982026614705014
101055671,-0.7031371762960763
101055864,-0.7561055652833981
101056073,-0.8132738641362384
101095,-0.7590348468008595
101100,-0.8657486653010691
101113,-0.7012665783885571
101118,-0.6807395774469964
101122,-0.8703636275441526
101142,-0.6659994477587102
101148,-0.7333732852970933
101185,-0.7286448435908189
101187,-0.8436598999191287
101197,-0.788854440464404
101202,-0.8467489972177559
101206,-0.6478922672322195
101214,-0.6188272080711494
101240,-0.75337173911298
101314,-0.5349551462630893
101320,-0.843705615767829
101351,-0.817130454973411
101358,-0.9097852887127468
101359,-0.8717608395176252
101401,-0.8027353408720306
101434,-0.8570648662238975
101437,-0.512694739847444
101471,-0.6739031271839534
101476,-0.6687368157034819
101488,-0.8812693355852838
101488143,-0.8766689998129339
101489,-0.8195348925777511
101490,-0.6670752433276854
101497,-0.8597259131915246
101502,-0.706887277418975
101513,-0.6135309772630909
101533,-0.8796912382040669
101540,-0.8442757705338964
101543,-0.8302240550548832
101544,-0.8675934643587626
101565,-0.7764292713497735
101568,-0.7866648406692816
101592,-0.6052493058148057
101602,-0.8636470996277542
101604,-0.913326663234488
101612,-0.8281158416447999
101613,-0.9180923807394368
101631,-0.8788123219452264
101685,-0.5778298511456551
101700,-0.8696282675107863
101706,-0.5369512671499229
101739,-0.5063956760835131
101744,-0.8152527666562237
101772,-0.8322617328275451
101809,-0.8763181172495512
101831,-0.7374804561996058
101835,-0.6529133416716596
101861,-0.6380797931866276
101867,-0.6125565645482468
101869,-0.77555512608198
101883,-0.6382596251327152
101943,-0.5937428096285149
101966,-0.5920437525419111
101985,-0.8227120466320991
101994,-0.7909606459369829
102022,-0.7664850933101388
102032,-0.6719106426223899
102058,-0.906972753007484
102060,-0.5645224171231852
102075,-0.915371089008938
102093,-0.654293352588356
102098,-0.7865163726123068
102103,-0.7587480231197478
102115,-0.811877025257203
102122,-0.6404349268187525
102124,-0.8109893861943898
102141,-0.6971320725026987
102162,-0.7971279638586889
102182,-0.764326641792739
102193,-0.8661074144877682
102209,-0.5686455394144935
102216272,-0.5786888563734116
102247,-0.6063804543836574
102278,-0.8085234057666355
102294,-0.8016338334526346
102308570,-0.5621686339576601
102323,-0.7435129070928256
102334,-0.6108841104992818
102339,-0.6760188581074225
102371,-0.7988139356119904
102414,-0.6452104264438826
102423,-0.8020283883630307
102436,-0.5423508870312742
102442,-0.6535481354986914
102443350,-0.5497648473504145
102443351,-0.5605468510832646
102448,-0.7382381979340586
102462,-0.8026214762347068
102502,-0.7290448796785276
102545,-0.8035838587354143
102566,-0.6503249888559554
102570,-0.9047253610634656
102577428,-0.8488165013969835
102580,-0.6608813196797887
102595,-0.7348137475616869
102607,-0.7837336860078874
102614,-0.8303919415854026
102626,-0.8259073921081896
102631730,-0.7687088775479751
102632,-0.7726523250380986
102635496,-0.5563743988692744
102637705,-0.7677149600033883
102638913,-0.8496968546218395
102639598,-0.7438081069534718
102644,-0.8133800525202851
102657,-0.8222987236231264
102680,-0.8707336601658798
102693,-0.8427197875944612
102747,-0.6409104711436151
102774,-0.6230378481877714
102791,-0.6930083790835165
102857,-0.8417711697574667
102866,-0.7469532658664909
102871,-0.769601422506071
